,,,,,Population change (%),,,Net domestic migration (%),,,,
CBSA,NAME,State,2012 unemployment rate,2013 population,2000-2007,2007-2013,2012-2013,2000-2007,2008-2013 avg,2012-2013,Pop gain/loss,Domestic migration gain/loss
10180,Abilene, TX,5.4,167501,-0.0068891,0.053432282,0.000471862,-0.042052864,-0.0014711,-0.003733082,G,L
10420,Akron, OH,6.8,705686,0.006592229,0.007318441,0.001034106,-0.020013765,-0.001979201,5.67E-05,G,G
10500,Albany, GA,9.6,155694,0.037329564,-0.048592694,-0.009447827,-0.021609184,-0.005967017,-0.014187646,L,L
10540,Albany, OR,10.9,118765,0.09784012,0.050144128,0.00302347,0.069795661,0.005800318,1.69E-05,G,G
10580,Albany-Schenectady-Troy, NY,7.5,877905,0.029970008,0.030381952,0.003138862,0.01074433,0.000248914,0.001565432,G,G
10740,Albuquerque, NM,7.3,902797,0.140728866,0.081602041,0.002590886,0.073897927,0.002005526,-0.00220664,G,L
10780,Alexandria, LA,6.4,154753,0.052647178,0.013331849,0.002727885,0.004307998,-0.001611273,-0.000304538,G,L
10900,Allentown-Bethlehem-Easton, PA-NJ,8.2,827048,0.085472217,0.026939773,0.000162048,0.057938882,0.000988316,-0.001435458,G,L
11020,Altoona, PA,7.2,126314,-0.023583663,0.002595506,-0.0054329,-0.016647291,0.000234145,-0.003125886,L,L
11100,Amarillo, TX,4.8,258196,0.064860843,0.067596176,0.002469328,0.00319659,0.00043813,-0.004119428,G,L
11180,Ames, IA,3.9,92406,0.063711358,0.084170265,0.008468842,-0.023986921,0.004340091,0.00321947,G,G
11260,Anchorage, AK,6,396142,0.126309942,0.097625988,0.010208115,0.042782601,0.002775713,0.000326415,G,G
11460,Ann Arbor, MI,5.7,354240,0.071854073,0.01849589,0.00881115,-0.009584241,-0.000896349,0.00398125,G,G
11500,Anniston-Oxford-Jacksonville, AL,7.6,116736,0.01316664,0.034820226,-0.004409269,-0.003323095,-0.001562647,-0.003744041,L,L
11540,Appleton, WI,6.3,229962,0.076535248,0.054837689,0.005786414,0.021485571,0.000370733,-0.000428623,G,L
11700,Asheville, NC,7.7,437657,0.091445969,0.082312821,0.012605013,0.077826242,0.008866277,0.012470819,G,G
12020,Athens-Clarke County, GA,6.7,197905,0.118673721,0.059959295,0.007601369,0.051556892,0.002912997,0.002657679,G,G
12060,Atlanta-Sandy Springs-Roswell, GA,8.8,5522942,0.230183061,0.048488598,0.012560985,0.086354088,0.005772253,0.005120609,G,G
12100,Atlantic City-Hammonton, NJ,13.5,275862,0.066816051,0.02191928,0.001815792,0.016566682,-0.002960497,-0.001049528,G,L
